Mã sản phẩm,Tên sản phẩm,Danh mục,Mô tả,Đơn vị tính,Giá nhập,Giá bán,Số lượng tồn kho,Tồn kho tối thiểu,Vị trí lưu kho,Nhà cung cấp,Ngày nhập gần nhất,Trạng thái
THỜ-2502-0124,H&M Áo khoác trench Plus,Thời trang nữ,"H&M Áo khoác trench Plus chính hãng từ H&M. Giá tốt chỉ 946,000đ. Dễ phối đồ, phù hợp đi làm/đi chơi, Phom oversize, Chất liệu lụa. Bảo hành 6 tháng. Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày. #gia_tot #h&m",Cái,679109,946000,99,15,K09-H06-B18,CT TNHH Xuất nhập khẩu Đại Phát,2025-09-18,Còn hàng
PHỤ-2508-0125,Hyper Chuột không dây Pro,Phụ kiện,"Sản phẩm Hyper Chuột không dây Pro của Hyper: Cáp USB-C to USB-C dài 2m, Công suất 30W, hỗ trợ PD/QC. Giá tham khảo 1,069,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày.",Cái,768554,1069000,125,27,K09-H17-B14,CTCP Thiết bị Gia dụng H.T,2025-11-05,Còn hàng
THỜ-2501-0126,H&M Áo khoác trench Pro,Thời trang nữ,"H&M Áo khoác trench Pro – lựa chọn đáng giá trong phân khúc. Nổi bật: Chất liệu voan, Dễ phối đồ, phù hợp đi làm/đi chơi, Phom bodycon. Bảo hành 3 tháng, Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #chinhhang #h&m",Cái,459395,528000,100,12,K09-H24-B17,CTCP Bán lẻ Công nghệ A-Z,2025-10-25,Còn hàng
PHỤ-2508-0127,Baseus Hub 6-in-1 Plus,Phụ kiện,"Baseus Hub 6-in-1 Plus chính hãng từ Baseus. Giá tốt chỉ 944,000đ. Chứng nhận an toàn CE/FCC, Công suất 20W, hỗ trợ PD/QC, Cáp USB-C to USB-C dài 2m. Bảo hành 12 tháng. Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang).",Cái,669301,944000,128,18,K06-H16-B04,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-23,Còn hàng
GIA-2503-0128,Electrolux Máy xay sinh tố SE,Gia dụng,"Electrolux Máy xay sinh tố SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Dung tích 1.7L, Bảo hành chính hãng 12 tháng. Bảo hành 24 tháng, Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày. #gia_tot #chinhhang",Cái,2953690,4435000,41,14,K08-H08-B13,Công ty Cổ phần Phân phối Sao Việt,2025-09-27,Còn hàng
ĐỒC-2503-0129,Lego Bộ lắp ghép SE,Đồ chơi,"Lego Bộ lắp ghép SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Chất liệu an toàn, đạt chuẩn ASTM, Độ tuổi khuyến nghị 8+, Phát triển tư duy & sáng tạo. Bảo hành 6 tháng, Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày. #lego #giao_nhanh",Hộp,899688,1237000,32,14,K08-H04-B09,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-26,Còn hàng
PHỤ-2502-0130,Baseus Bàn phím bluetooth SE,Phụ kiện,"Sản phẩm Baseus Bàn phím bluetooth SE của Baseus: Chứng nhận an toàn CE/FCC, Công suất 65W, hỗ trợ PD/QC, Cáp USB-A to Lightning dài 1m. Giá tham khảo 715,000đ. Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang).",Cái,469466,715000,121,16,K04-H10-B04,Công ty Cổ phần Phân phối Sao Việt,2025-10-27,Còn hàng
PHỤ-2505-0131,Logitech Cáp USB-C 1m Mini,Phụ kiện,"Logitech Cáp USB-C 1m Mini – lựa chọn đáng giá trong phân khúc. Nổi bật: Chứng nhận an toàn CE/FCC, Công suất 65W, hỗ trợ PD/QC. Bảo hành 12 tháng, Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang). #logitech #gia_tot",Cái,406072,554000,111,16,K08-H20-B02,Hoàng Công ty Cổ phần,2025-10-15,Còn hàng
MỸP-2510-0132,The Ordinary Kem dưỡng ẩm Pro,Mỹ phẩm,"Sản phẩm The Ordinary Kem dưỡng ẩm Pro của The Ordinary: Phù hợp loại da thường, Không paraben, không cồn khô, Thành phần nổi bật: Niacinamide. Giá tham khảo 1,055,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày.",Tuýp,770023,1055000,81,7,K04-H10-B02,CTCP Bán lẻ Công nghệ A-Z,2025-11-01,Còn hàng
ĐIỆ-2509-0133,Nokia G22 Mini,Điện thoại,"Nokia G22 Mini chính hãng từ Nokia. Giá tốt chỉ 37,268,000đ. Camera 50MP, quay 4K, Pin 5200mAh, sạc nhanh 45W. Bảo hành 24 tháng. Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang).",Chiếc,22000000,37268000,16,8,K02-H24-B08,Công ty TNHH Thương mại Minh Anh,2025-09-29,Còn hàng
GIA-2509-0134,Panasonic Bếp hồng ngoại Plus,Gia dụng,"Sản phẩm Panasonic Bếp hồng ngoại Plus của Panasonic: Công suất 900W, Dung tích 1.8L. Giá tham khảo 4,038,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày.",Cái,2974082,4038000,41,12,K03-H11-B10,CTCP Thiết bị Gia dụng H.T,2025-10-08,Còn hàng
GIA-2511-0135,Philips Lò vi sóng 23L Max,Gia dụng,"Philips Lò vi sóng 23L Max – lựa chọn đáng giá trong phân khúc. Nổi bật: Công suất 1800W, Dung tích 1.7L, Bảo hành chính hãng 24 tháng. Bảo hành 18 tháng, Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #chinhhang #giao_nhanh",Cái,3497294,5036000,41,16,K10-H21-B09,CT TNHH Xuất nhập khẩu Đại Phát,2025-11-03,Còn hàng
MỸP-2507-0136,Innisfree Sữa rửa mặt SE,Mỹ phẩm,"Innisfree Sữa rửa mặt SE chính hãng từ Innisfree. Giá tốt chỉ 1,125,000đ. Thành phần nổi bật: Ceramide, Phù hợp loại da khô, Không paraben, không cồn khô. Bảo hành 12 tháng. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #innisfree #chinhhang",Tuýp,771391,1125000,72,13,K04-H16-B09,CTCP Thiết bị Gia dụng H.T,2025-09-18,Còn hàng
LAP-2508-0137,MSI Pavilion 14 Mini,Laptop,"Sản phẩm MSI Pavilion 14 Mini của MSI: Trọng lượng ~1.2kg, RAM 16GB, SSD 1024GB, Pin dùng 12 giờ. Giá tham khảo 67,063,000đ. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #gia_tot #msi",Chiếc,45000000,67063000,16,5,K07-H07-B05,Phạm và Đặng Công ty Cổ phần,2025-10-06,Còn hàng
LAP-2504-0138,Acer XPS 13 Pro,Laptop,,Chiếc,12514653,22397000,6,16,K10-H08-B17,Công ty TNHH Thương mại Minh Anh,2025-09-27,Còn hàng
THỜ-2503-0139,Routine Áo khoác gió,Thời trang nam,"Sản phẩm Routine Áo khoác gió của Routine: Màu sắc: trắng, Form regular. Giá tham khảo 371,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày. #routine #gia_tot",Cái,225488,371000,79,23,K07-H03-B04,CTCP Thiết bị Gia dụng H.T,2025-10-26,Còn hàng
GIA-2511-0140,Philips Ấm siêu tốc 1.7L SE,Gia dụng,"Philips Ấm siêu tốc 1.7L SE chính hãng từ Philips. Giá tốt chỉ 7,137,000đ. Dung tích 23L, Bảo hành chính hãng 12 tháng, Công suất 700W. Bảo hành 18 tháng. Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày. #giao_nhanh #philips",Cái,5305578,7137000,38,18,K02-H29-B04,Công ty TNHH Thương mại Minh Anh,2025-11-06,Còn hàng
ĐIỆ-2504-0141,Nokia C55 Plus,Điện thoại,"Nokia C55 Plus chính hãng từ Nokia. Giá tốt chỉ 25,252,000đ. RAM 8GB, ROM 512GB, Màn hình 6.2"" AMOLED 120Hz. Bảo hành 6 tháng. Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #nokia #gia_tot",Chiếc,17258238,25252000,18,8,K05-H21-B02,Nguyễn Công ty TNHH MTV,2025-10-31,Còn hàng
THỰ-2501-0142,Kinh Đô Gạo ST25 5kg Pro,Thực phẩm,"Sản phẩm Kinh Đô Gạo ST25 5kg Pro của Kinh Đô: HSD 17 tháng, Nguồn gốc rõ ràng, an toàn vệ sinh, Bao bì nguyên vẹn, tem nhãn đầy đủ. Giá tham khảo 53,000đ. Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang). #gia_tot #kinh_đô",Gói,37492,53000,144,17,K04-H02-B02,Trần Công ty Hợp danh,2025-10-20,Còn hàng
LAP-2504-0143,Lenovo XPS 13 SE,Laptop,"Sản phẩm Lenovo XPS 13 SE của Lenovo: Pin dùng 8 giờ, Màn hình 14"" 2.8K 90Hz, Trọng lượng ~1.2kg. Giá tham khảo 26,127,000đ. Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang).",Chiếc,18140857,26127000,6,5,K07-H19-B03,CT TNHH Xuất nhập khẩu Đại Phát,2025-09-03,Còn hàng
LAP-2501-0144,Dell Pavilion 14,Laptop,"Dell Pavilion 14 – lựa chọn đáng giá trong phân khúc. Nổi bật: Trọng lượng ~1.2kg, Pin dùng 8 giờ, CPU Apple M2, Màn hình 14"" 2.8K 90Hz. Bảo hành 18 tháng, Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày.",Chiếc,22692943,35015000,9,6,K06-H17-B17,Trần và Phạm Doanh nghiệp tư nhân,2025-08-17,Còn hàng
ĐỒU-2509-0145,Coca-Cola Chai 1.5L lốc 6 Mini,Đồ uống,"Coca-Cola Chai 1.5L lốc 6 Mini chính hãng từ Coca-Cola. Giá tốt chỉ 286,000đ. NSX gần, HSD còn dài, Thùng 12 lon/chai. Bảo hành 3 tháng. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #coca-cola #chinhhang",Thùng,196031,286000,116,24,K10-H06-B12,Công ty TNHH Thương mại Minh Anh,2025-11-04,Còn hàng
PHỤ-2512-0146,Anker Bàn phím bluetooth,Phụ kiện,"Anker Bàn phím bluetooth – lựa chọn đáng giá trong phân khúc. Nổi bật: Cáp USB-C to USB-C dài 1m, Chứng nhận an toàn CE/FCC. Bảo hành 6 tháng, Giao nhanh 2H nội thành. Đổi trả trong 15 ngày.",Cái,427871,632000,128,25,K04-H14-B11,Công ty TNHH Thương mại Minh Anh,2025-11-02,Còn hàng
ĐỒC-2508-0147,Mattel Bộ lắp ghép SE,Đồ chơi,"Mattel Bộ lắp ghép SE chính hãng từ Mattel. Giá tốt chỉ 1,498,000đ. Chất liệu an toàn, đạt chuẩn EN-71, Phát triển tư duy & sáng tạo. Bảo hành 3 tháng. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #giao_nhanh #mattel",Hộp,870670,1498000,31,5,K05-H19-B10,Hoàng và Mai Công ty TNHH,2025-10-28,Còn hàng
ĐIỆ-2507-0148,Xiaomi A14,Điện thoại,"Sản phẩm Xiaomi A14 của Xiaomi: Camera 64MP, quay 4K, Pin 5200mAh, sạc nhanh 45W. Giá tham khảo 9,135,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày. #gia_tot #giao_nhanh",Chiếc,6144547,9135000,19,11,K09-H08-B14,Công ty TNHH Thương mại Minh Anh,2025-11-02,Còn hàng
THỜ-2511-0149,IVY Moda Đầm midi Mini,Thời trang nữ,"IVY Moda Đầm midi Mini chính hãng từ IVY Moda. Giá tốt chỉ 735,000đ. Chất liệu tuýp-si co giãn, Phom bodycon, Dễ phối đồ, phù hợp đi làm/đi chơi. Bảo hành 3 tháng. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày.",Cái,416162,735000,86,13,K05-H28-B11,Lê Doanh nghiệp tư nhân,2025-11-06,Còn hàng
ĐỒU-2503-0150,Coca-Cola Lon 330ml thùng 24 Pro,Đồ uống,"Sản phẩm Coca-Cola Lon 330ml thùng 24 Pro của Coca-Cola: Thùng 12 lon/chai, Bảo quản nơi khô ráo, thoáng mát. Giá tham khảo 391,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày. #chinhhang #coca-cola",Thùng,268778,391000,117,27,K07-H04-B18,Công ty Cổ phần Phân phối Sao Việt,2025-10-29,Còn hàng
THỜ-2504-0151,Canifa Áo thun cotton,Thời trang nam,,Cái,375305,577000,72,19,K01-H22-B10,Công ty Cổ phần Phân phối Sao Việt,2025-10-20,Còn hàng
THỜ-2508-0152,Zara Áo kiểu lụa Pro,Thời trang nữ,"Zara Áo kiểu lụa Pro chính hãng từ Zara. Giá tốt chỉ 1,247,000đ. Chất liệu lụa, Dễ phối đồ, phù hợp đi làm/đi chơi, Phom oversize. Bảo hành 12 tháng. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày.",Cái,973718,1247000,82,12,K03-H04-B01,Công ty Cổ phần Phân phối Sao Việt,2025-09-18,Còn hàng
GIA-2506-0153,Sunhouse Máy xay sinh tố Pro,Gia dụng,"Sunhouse Máy xay sinh tố Pro chính hãng từ Sunhouse. Giá tốt chỉ 1,617,000đ. Dung tích 1.8L, Công suất 900W, Bảo hành chính hãng 24 tháng. Bảo hành 12 tháng. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #sunhouse #chinhhang",Cái,1035855,1617000,47,7,K08-H02-B06,Đặng Phạm Công ty Trách nhiệm hữu hạn,2025-11-01,Còn hàng
ĐIỆ-2504-0154,Vivo Y36 SE,Điện thoại,"Vivo Y36 SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Pin 5200mAh, sạc nhanh 45W, Màn hình 6.8"" AMOLED 120Hz, RAM 12GB, ROM 256GB. Bảo hành 18 tháng, Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang). #gia_tot #chinhhang",Chiếc,9722264,17185000,27,11,K09-H16-B02,CT TNHH Xuất nhập khẩu Đại Phát,2025-09-09,Còn hàng
THỜ-2501-0155,Canifa Áo thun cotton Plus,Thời trang nam,"Canifa Áo thun cotton Plus chính hãng từ Canifa. Giá tốt chỉ 490,000đ. Form oversize, Chất liệu thun lạnh. Bảo hành 6 tháng. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #giao_nhanh #canifa",Cái,409926,490000,89,23,K10-H08-B06,Công ty Cổ phần Phân phối Sao Việt,2025-10-21,Còn hàng
ĐIỆ-2510-0156,Realme G22 Plus,Điện thoại,"Sản phẩm Realme G22 Plus của Realme: Chip Dimensity 7050, RAM 6GB, ROM 256GB. Giá tham khảo 18,190,000đ. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #giao_nhanh #chinhhang",Chiếc,15817593,18190000,17,6,K04-H27-B16,Công ty Cổ phần Phân phối Sao Việt,2025-11-04,Còn hàng
ĐIỆ-2503-0157,Apple Y36,Điện thoại,"Sản phẩm Apple Y36 của Apple: Pin 4500mAh, sạc nhanh 33W, RAM 12GB, ROM 256GB, Chip Dimensity 7050. Giá tham khảo 27,435,000đ. Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang). #giao_nhanh #chinhhang",Chiếc,16641740,27435000,24,5,K06-H03-B12,Trần Công ty Trách nhiệm hữu hạn,2025-09-22,Còn hàng
ĐỒU-2512-0158,Pepsi Chai 1.5L lốc 6 Plus,Đồ uống,,Thùng,236302,371000,141,22,K12-H01-B19,CTCP Bán lẻ Công nghệ A-Z,2025-10-29,Còn hàng
ĐỒU-2511-0159,Lavie Cà phê hòa tan 20 gói Max,Đồ uống,"Sản phẩm Lavie Cà phê hòa tan 20 gói Max của Lavie: Bảo quản nơi khô ráo, thoáng mát, NSX gần, HSD còn dài, Thùng 12 lon/chai. Giá tham khảo 640,000đ. Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #giao_nhanh #chinhhang",Thùng,422881,640000,116,16,K03-H11-B03,CTCP Thiết bị Gia dụng H.T,2025-10-31,Còn hàng
ĐIỆ-2512-0160,Samsung Redmi Note 12 Mini,Điện thoại,"Samsung Redmi Note 12 Mini chính hãng từ Samsung. Giá tốt chỉ 23,828,000đ. RAM 6GB, ROM 256GB, Camera 50MP, quay 4K. Bảo hành 18 tháng. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #samsung #chinhhang",Chiếc,15379696,23828000,17,15,K07-H16-B13,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-30,Còn hàng
LAP-2510-0161,Asus XPS 13 Plus,Laptop,"Asus XPS 13 Plus chính hãng từ Asus. Giá tốt chỉ 52,033,000đ. RAM 32GB, SSD 1024GB, Trọng lượng ~1.4kg, Pin dùng 12 giờ. Bảo hành 18 tháng. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #asus #chinhhang",Chiếc,31982955,52033000,11,16,K07-H21-B06,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-25,Còn hàng
ĐIỆ-2502-0162,Xiaomi A14 Mini,Điện thoại,"Xiaomi A14 Mini – lựa chọn đáng giá trong phân khúc. Nổi bật: Camera 64MP, quay 4K, Pin 5000mAh, sạc nhanh 67W, Chip Snapdragon 7 Gen 1. Bảo hành 6 tháng, Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang). #xiaomi #gia_tot",Chiếc,15978580,25489000,22,11,K11-H20-B16,Công ty TNHH Thương mại Minh Anh,2025-10-25,Còn hàng
PHỤ-2508-0163,Hyper Sạc 20W Plus,Phụ kiện,"Sản phẩm Hyper Sạc 20W Plus của Hyper: Công suất 30W, hỗ trợ PD/QC, Chứng nhận an toàn CE/FCC, Cáp USB-C to Lightning dài 1m. Giá tham khảo 666,000đ. Nhận hàng tại cửa hàng. Đổi trả trong 15 ngày. #hyper #giao_nhanh",Cái,505075,666000,121,26,K05-H19-B02,Công ty TNHH Thương mại Minh Anh,2025-11-05,Còn hàng
GIA-2507-0164,Sunhouse Lò vi sóng 23L Pro,Gia dụng,"Sunhouse Lò vi sóng 23L Pro chính hãng từ Sunhouse. Giá tốt chỉ 3,332,000đ. Bảo hành chính hãng 12 tháng, Dung tích 1.8L. Bảo hành 12 tháng. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày.",Cái,2550750,3332000,42,5,K09-H26-B19,CTCP Bán lẻ Công nghệ A-Z,2025-10-30,Còn hàng
THỜ-2505-0165,NEM Áo kiểu lụa SE,Thời trang nữ,"NEM Áo kiểu lụa SE chính hãng từ NEM. Giá tốt chỉ 1,622,000đ. Chất liệu tuýp-si co giãn, Dễ phối đồ, phù hợp đi làm/đi chơi. Bảo hành 3 tháng. Giao 24-48H toàn quốc. Đổi trả trong 7 ngày. #chinhhang #nem",Cái,842915,1622000,96,19,K02-H03-B13,CTCP Bán lẻ Công nghệ A-Z,2025-10-15,Còn hàng
ĐỒU-2506-0166,Coca-Cola Chai 1.5L lốc 6 SE,Đồ uống,"Sản phẩm Coca-Cola Chai 1.5L lốc 6 SE của Coca-Cola: Bảo quản nơi khô ráo, thoáng mát, Thùng 24 lon/chai, NSX gần, HSD còn dài. Giá tham khảo 283,000đ. Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #coca-cola #gia_tot",Thùng,240883,283000,152,26,K11-H16-B19,Công ty TNHH Thương mại Minh Anh,2025-11-05,Còn hàng
THỜ-2505-0167,Routine Quần jeans slim Plus,Thời trang nam,"Routine Quần jeans slim Plus – lựa chọn đáng giá trong phân khúc. Nổi bật: Chất liệu thun lạnh, Màu sắc: xám, Form oversize. Bảo hành 12 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #routine #giao_nhanh",Cái,714045,945000,80,16,K12-H22-B04,Lê Công ty Hợp danh,2025-11-03,Còn hàng
MỸP-2509-0168,Laneige Serum Vitamin C Pro,Mỹ phẩm,"Laneige Serum Vitamin C Pro – lựa chọn đáng giá trong phân khúc. Nổi bật: Thành phần nổi bật: Vitamin C, Không paraben, không cồn khô. Bảo hành 3 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #giao_nhanh #laneige",Tuýp,296313,427000,55,12,K12-H17-B13,CTCP Bán lẻ Công nghệ A-Z,2025-10-25,Còn hàng
GIA-2509-0169,Sharp Lò vi sóng 23L Mini,Gia dụng,"Sharp Lò vi sóng 23L Mini chính hãng từ Sharp. Giá tốt chỉ 6,448,000đ. Bảo hành chính hãng 24 tháng, Công suất 900W, Dung tích 1.8L. Bảo hành 18 tháng. Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang). #sharp #chinhhang",Cái,3968142,6448000,35,16,K02-H22-B01,CT TNHH Xuất nhập khẩu Đại Phát,2025-11-01,Còn hàng
PHỤ-2511-0170,Logitech Cáp USB-C 1m Max,Phụ kiện,"Sản phẩm Logitech Cáp USB-C 1m Max của Logitech: Cáp USB-C to USB-C dài 1m, Chứng nhận an toàn CE/FCC, Công suất 45W, hỗ trợ PD/QC. Giá tham khảo 854,000đ. Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang). #logitech #gia_tot",Cái,605776,854000,123,19,K05-H21-B14,Công ty TNHH Thương mại Minh Anh,2025-10-21,Còn hàng
THỜ-2508-0171,Coolmate Quần jeans slim Max,Thời trang nam,"Sản phẩm Coolmate Quần jeans slim Max của Coolmate: Chất liệu kaki co giãn, Màu sắc: đen, Form slim. Giá tham khảo 921,000đ. Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #giao_nhanh #gia_tot",Cái,559848,921000,92,17,K10-H13-B19,CTCP Bán lẻ Công nghệ A-Z,2025-09-27,Còn hàng
ĐỒC-2504-0172,Hasbro Búp bê SE,Đồ chơi,"Sản phẩm Hasbro Búp bê SE của Hasbro: Chất liệu an toàn, đạt chuẩn ASTM, Phát triển tư duy & sáng tạo, Độ tuổi khuyến nghị 6+. Giá tham khảo 1,604,000đ. Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang).",Hộp,1114386,1604000,37,5,K10-H13-B11,Công ty TNHH Thương mại Minh Anh,2025-07-31,Còn hàng
GIA-2509-0173,Sharp Máy xay sinh tố,Gia dụng,"Sharp Máy xay sinh tố chính hãng từ Sharp. Giá tốt chỉ 7,598,000đ. Công suất 700W, Dung tích 23L, Bảo hành chính hãng 12 tháng. Bảo hành 18 tháng. Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang).",Cái,5108153,7598000,53,19,K11-H12-B17,Công ty Cổ phần Phân phối Sao Việt,2025-11-05,Còn hàng
THỜ-2504-0174,Routine Áo sơ mi oxford Plus,Thời trang nam,"Routine Áo sơ mi oxford Plus – lựa chọn đáng giá trong phân khúc. Nổi bật: Màu sắc: đen, Chất liệu thun lạnh, Form regular. Bảo hành 12 tháng, Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang). #routine #chinhhang",Cái,444338,627000,82,17,K06-H12-B09,CT TNHH Xuất nhập khẩu Đại Phát,2025-11-02,Còn hàng
PHỤ-2507-0175,Ugreen Cáp USB-C 1m Plus,Phụ kiện,"Ugreen Cáp USB-C 1m Plus chính hãng từ Ugreen. Giá tốt chỉ 523,000đ. Cáp USB-A to Lightning dài 1m, Chứng nhận an toàn CE/FCC, Công suất 30W, hỗ trợ PD/QC. Bảo hành 12 tháng. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #ugreen #giao_nhanh",Cái,359266,523000,143,26,K12-H06-B03,Công ty Cổ phần Phân phối Sao Việt,2025-10-24,Còn hàng
THỜ-2507-0176,Zara Áo khoác trench Mini,Thời trang nữ,"Zara Áo khoác trench Mini chính hãng từ Zara. Giá tốt chỉ 335,000đ. Phom oversize, Chất liệu lụa. Bảo hành 12 tháng. Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày. #giao_nhanh #gia_tot",Cái,217334,335000,100,9,K04-H24-B12,Phạm và Phạm Công ty Trách nhiệm hữu hạn,2025-11-02,Còn hàng
PHỤ-2510-0177,Anker Chuột không dây SE,Phụ kiện,"Anker Chuột không dây SE – lựa chọn đáng giá trong phân khúc. Nổi bật: Công suất 30W, hỗ trợ PD/QC, Chứng nhận an toàn CE/FCC, Cáp USB-A to Lightning dài 2m. Bảo hành 6 tháng, Giao nhanh 2H nội thành. Đổi trả trong 7 ngày. #gia_tot #giao_nhanh",Cái,461573,595000,101,21,K01-H10-B10,CTCP Bán lẻ Công nghệ A-Z,2025-11-05,Còn hàng
PHỤ-2510-0178,Ugreen Sạc dự phòng 10.000mAh Pro,Phụ kiện,"Ugreen Sạc dự phòng 10.000mAh Pro – lựa chọn đáng giá trong phân khúc. Nổi bật: Cáp USB-C to USB-C dài 1m, Công suất 20W, hỗ trợ PD/QC, Chứng nhận an toàn CE/FCC. Bảo hành 3 tháng, Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày. #chinhhang #giao_nhanh",Cái,304195,498000,114,17,K12-H21-B02,CTCP Thiết bị Gia dụng H.T,2025-11-02,Còn hàng
ĐỒC-2512-0179,Takara Tomy Búp bê Max,Đồ chơi,"Takara Tomy Búp bê Max chính hãng từ Takara Tomy. Giá tốt chỉ 1,371,000đ. Phát triển tư duy & sáng tạo, Chất liệu an toàn, đạt chuẩn EN-71, Độ tuổi khuyến nghị 6+. Bảo hành 3 tháng. Giao nhanh 2H nội thành. Đổi trả trong 15 ngày. #giao_nhanh #takara_tomy",Hộp,835240,1371000,38,5,K11-H04-B17,CTCP Bán lẻ Công nghệ A-Z,2025-09-09,Còn hàng
GIA-2503-0180,Sharp Ấm siêu tốc 1.7L Plus,Gia dụng,,Cái,3092416,3556000,37,5,K04-H23-B16,Công ty TNHH Thương mại Minh Anh,2025-10-24,Còn hàng
LAP-2502-0181,Dell Swift 3 Max,Laptop,"Dell Swift 3 Max – lựa chọn đáng giá trong phân khúc. Nổi bật: Trọng lượng ~1.3kg, CPU Intel Core i5. Bảo hành 18 tháng, Giao 24-48H toàn quốc. Hỗ trợ đổi size (thời trang). #chinhhang #dell",Chiếc,39597703,53690000,13,5,K02-H29-B09,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-29,Còn hàng
ĐIỆ-2511-0182,Samsung S24,Điện thoại,"Samsung S24 chính hãng từ Samsung. Giá tốt chỉ 11,603,000đ. Camera 64MP, quay 4K, Pin 5000mAh, sạc nhanh 67W, Màn hình 6.8"" AMOLED 120Hz. Bảo hành 24 tháng. Nhận hàng tại cửa hàng. Đổi trả trong 7 ngày. #chinhhang #samsung",Chiếc,9202987,11603000,13,7,K08-H20-B09,Lê Lê Công ty TNHH MTV,2025-10-28,Còn hàng
LAP-2511-0183,Apple Swift 3 SE,Laptop,"Sản phẩm Apple Swift 3 SE của Apple: Pin dùng 8 giờ, Màn hình 14"" 2.8K 90Hz. Giá tham khảo 28,410,000đ. Giao nhanh 2H nội thành. Hỗ trợ đổi size (thời trang). #gia_tot #giao_nhanh",Chiếc,19039483,28410000,2,15,K07-H25-B12,Công ty Cổ phần Phân phối Sao Việt,2025-11-01,Còn hàng
THỜ-2512-0184,Routine Áo khoác gió,Thời trang nam,"Routine Áo khoác gió chính hãng từ Routine. Giá tốt chỉ 557,000đ. Form oversize, Chất liệu cotton 100%. Bảo hành 12 tháng. Giao 24-48H toàn quốc. Đổi trả trong 15 ngày. #routine #gia_tot",Cái,427759,557000,85,15,K11-H22-B13,CTCP Bán lẻ Công nghệ A-Z,2025-09-18,Còn hàng
GIA-2509-0185,Sharp Lò vi sóng 23L Pro,Gia dụng,"Sharp Lò vi sóng 23L Pro chính hãng từ Sharp. Giá tốt chỉ 4,293,000đ. Bảo hành chính hãng 24 tháng, Dung tích 23L, Công suất 700W. Bảo hành 24 tháng. Nhận hàng tại cửa hàng. Hỗ trợ đổi size (thời trang). #sharp #chinhhang",Cái,2826680,4293000,53,11,K07-H13-B08,CT TNHH Xuất nhập khẩu Đại Phát,2025-10-25,Còn hàng
